;Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
8976;Python;NAZARIA;'7898040329525;CALCITRAN D3 1000UI 30CPR;2025-05-08 21:02:08;RN;NAZARIA;1;99;54;37,58;0,0;0,0;37,58
8977;Python;NAZARIA;'7896658037160;VOLARE 40MG/0,4ML 10 SERINGAS;2025-05-08 21:02:08;RN;NAZARIA;0;0;33;647,95;0,0;0,0;647,95
8978;Python;NAZARIA;'7896013557142;COLOR CR MAXTON ECON 4.3 CASTANHO DOURADO;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;6,2;0,0;0,0;6,2
8979;Python;NAZARIA;'7896658024856;DASTENE 0,5MG 10CAP;2025-05-08 21:02:08;RN;NAZARIA;0;0;20;25,2;0,0;0,0;25,2
8980;Python;NAZARIA;'7891350038934;KOLESTON TINT NOIT IL CASTANHO CREP 415;2025-05-08 21:02:08;RN;NAZARIA;1;1360;12;11,69;0,0;0,0;11,69
8981;Python;NAZARIA;'7896226105291;BARIVIT LAR 60CPR MAST;2025-05-08 21:02:08;RN;NAZARIA;0;0;18;126,77;0,04;0,0;121,7
8982;Python;NAZARIA;'7898048697824;BARIAT XR 30CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;40;75,77;0,0;0,0;75,77
8983;Python;NAZARIA;'7896770980481;ROUPA INT TENA PANTS NOTURNA P M 16UN;2025-05-08 21:02:08;RN;NAZARIA;1;466;4;72,69;0,0;0,0;72,69
8984;Python;NAZARIA;'7891058005221;AMARYL 4MG 30CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;35;78,4;0,0;0,0;78,4
8985;Python;NAZARIA;'7896033251778;CHUP SOFT FIONA SIL ANAT NAo2 AZUL;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;17,11;0,0;0,0;17,11
8986;Python;NAZARIA;'7896472521876;TRADEP 100MG 60CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;56;41,72;0,0;0,0;41,72
8987;Python;NAZARIA;'7896251802868;ANSOLAR FLUID FPS70 60ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;24;70,45;0,0;0,0;70,45
8988;Python;NAZARIA;'7896622301822;GASTROL EFERV 50SACH ABA;2025-05-08 21:02:08;RN;NAZARIA;0;0;8;104,33;0,0;0,0;104,33
8989;Python;NAZARIA;'7640131978538;FIO DEN SUPERSOFT FLOSS 50UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;22,09;0,0;0,0;22,09
8990;Python;NAZARIA;'7896004767055;RIVAROXABANA 20MG 14CPR (E3S-G);2025-05-08 21:02:08;RN;NAZARIA;0;0;60;95,23;0,8553000000000001;0,0;13,78
8991;Python;NAZARIA;'7896044997511;COLONIA GIOVANN BABY BABY&KIDS GIBY 120ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;4;24,88;0,0;0,0;24,88
8992;Python;NAZARIA;'7898215157854;WHEY BEB LACTEA CHOC ZERO 250ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;5,63;0,0;0,0;5,63
8993;Python;NAZARIA;'7891317003227;FLUCONAZOL 150MG 2CAP (EUF-G);2025-05-08 21:02:08;RN;NAZARIA;0;0;100;17,33;0,0;0,0;17,33
8994;Python;NAZARIA;'7891142983442;EVORTIA 5MG 30CPRV C1;2025-05-08 21:02:08;RN;NAZARIA;0;0;70;67,7;0,0;0,0;67,7
8995;Python;NAZARIA;'7896006214991;CETOPROFENO 50MG 24CAP (U.Q-G);2025-05-08 21:02:08;RN;NAZARIA;0;0;198;30,25;0,65;0,0;10,59
8996;Python;NAZARIA;'7891317038915;MAG+QUELATUS 60 CPR;2025-05-08 21:02:08;RN;NAZARIA;1;92;40;97,74;0,04;0,0;93,83
8997;Python;NAZARIA;'7896007547999;ROP PLEN ACTIVE MULHER P/M 2X16;2025-05-08 21:02:08;RN;NAZARIA;0;0;2;46,3;0,05;0,0;43,98
8998;Python;NAZARIA;'7896115700408;TALCO TRA LA LA BABY 160G;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;5,64;0,0;0,0;5,64
8999;Python;NAZARIA;'7791293034966;DEO SUAVE AER AP FRESC GARDENIA 150ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;4,94;0,0;0,0;4,94
9000;Python;NAZARIA;'7899026434936;BATOM HYDRA EXTREME BL 150 COOL WATERMEL;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;13,22;0,0;0,0;13,22
9001;Python;NAZARIA;'7896000704665;KIT COR&TON 5.0 CASTANHO CLARO;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;12,34;0,0;0,0;12,34
9002;Python;NAZARIA;'618231034345;MULTIVITALE CALCIO MDK 60CPS;2025-05-08 21:02:08;RN;NAZARIA;1;1341;48;19,25;0,0;0,0;19,25
9003;Python;NAZARIA;'7891150080768;CR TRAT DOVE RITUAL CRESCIM 500G;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;22,53;0,0;0,0;22,53
9004;Python;NAZARIA;'7896672202360;MIOCALVEN D 30SACH;2025-05-08 21:02:08;RN;NAZARIA;0;0;24;78,82;0,0;0,0;78,82
