Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7896026100229;ENXAGUANTE BUCAL NOPLAK SEM ALCOOL 250ML;2025-01-03 16:00:08;PR;SERVIMED;1;150;12;20,90852695691405;0,0;3,86;24,77
Python;SERVIMED;'7898496351750;SECADOR GA.MA ITALY BELLA PRO 220V;2025-01-03 16:00:08;PR;SERVIMED;0;0;4;110,23809739333;0,0;21,56;131,8
Python;SERVIMED;'7500435127264;ABSORVENTE ALWAYS P SECA SEM ABAS 8 UNIDADES;2025-01-03 16:00:08;PR;SERVIMED;0;0;18;3,43589085778161;0,0;0,79;4,23
Python;SERVIMED;'7891150060210;SABONETE LIQUIDO LUX BOTANICALS ORQUIDEA NEGRA REFIL 200ML;2025-01-03 16:00:08;PR;SERVIMED;1;7439;12;4,3419178829223295;0,0;0,77;5,109999999999999
Python;SERVIMED;'7500435121002;CARTUCHO GILLETTE VENUS SPA 2UN;2025-01-03 16:00:08;PR;SERVIMED;0;0;6;24,738414176027558;0,0;3,89;28,630000000000003
Python;SERVIMED;'7898430192524;MYRAFER 30 CP T;2025-01-03 16:00:08;PR;SERVIMED;1;58;25;48,51;0,08;5,45;46,28
Python;SERVIMED;'7896094916876;FLUVIRAL NOITE DISP 100 CP S;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;242,29;0,0;36,25;257,9
Python;SERVIMED;'7894916510028;BRAMICAR HTC 80/25MG 30CP S;2025-01-03 16:00:08;PR;SERVIMED;0;0;60;74,81;0,0;10,69;79,13
Python;SERVIMED;'7891317036744;NITAZOXANIDA SUS ORAL+SER DOS 100ML G;2025-01-03 16:00:08;PR;SERVIMED;1;143;32;48,15;0,6;7,69;25,310000000000002
Python;SERVIMED;'7891150063457;CONDICIONADOR SEDA LIMPEZA MICELAR 325ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;9,11764705882353;0,0;2,6;11,72
Python;SERVIMED;'7897595612397;ALOPURINOL 100 MG 60 CP G;2025-01-03 16:00:08;PR;SERVIMED;0;0;120;15,030000000000001;0,37;2,14;10,8
Python;SERVIMED;'7891317476663;ESC 10 MG 60 CP *S;2025-01-03 16:00:08;PR;SERVIMED;1;173;90;93,88;0,06;10,8;91,53
Python;SERVIMED;'7896000726391;SILICONE NIELY GOLD COMPRIDOS + FORTES 42ML;2025-01-03 16:00:08;PR;SERVIMED;1;548;24;14,191017316017309;0,0;4,04;18,23
Python;SERVIMED;'7898146823422;RISPERIDONA 2 MG 30 CP *G;2025-01-03 16:00:08;PR;SERVIMED;1;482;48;31,13;0,77;5,17;11,719999999999999
